eta: 0:00:24  epoch: 0  step: 360  loss_c: 0.1437  loss_f: 0.1437  total_loss: 0.2875  data: 0.0006  batch: 0.1831  lr: 0.000500  max_mem: 38
eta: 0:00:22  epoch: 0  step: 370  loss_c: 0.0930  loss_f: 0.0930  total_loss: 0.1860  data: 0.0005  batch: 0.1834  lr: 0.000500  max_mem: 38
eta: 0:00:21  epoch: 0  step: 380  loss_c: 0.1721  loss_f: 0.1721  total_loss: 0.3441  data: 0.0008  batch: 0.1868  lr: 0.000500  max_mem: 38
eta: 0:00:19  epoch: 0  step: 390  loss_c: 0.2155  loss_f: 0.2155  total_loss: 0.4310  data: 0.0010  batch: 0.1849  lr: 0.000500  max_mem: 38
eta: 0:00:17  epoch: 0  step: 400  loss_c: 0.1341  loss_f: 0.1341  total_loss: 0.2683  data: 0.0008  batch: 0.1692  lr: 0.000500  max_mem: 38
eta: 0:00:15  epoch: 0  step: 410  loss_c: 0.1250  loss_f: 0.1250  total_loss: 0.2500  data: 0.0005  batch: 0.1625  lr: 0.000500  max_mem: 38
eta: 0:00:14  epoch: 0  step: 420  loss_c: 0.1692  loss_f: 0.1692  total_loss: 0.3385  data: 0.0007  batch: 0.1749  lr: 0.000500  max_mem: 38
eta: 0:00:12  epoch: 0  step: 430  loss_c: 0.2367  loss_f: 0.2367  total_loss: 0.4734  data: 0.0008  batch: 0.1692  lr: 0.000500  max_mem: 38
eta: 0:00:10  epoch: 0  step: 440  loss_c: 0.1958  loss_f: 0.1958  total_loss: 0.3917  data: 0.0006  batch: 0.1607  lr: 0.000500  max_mem: 38
eta: 0:00:08  epoch: 0  step: 450  loss_c: 0.0671  loss_f: 0.0671  total_loss: 0.1342  data: 0.0007  batch: 0.1663  lr: 0.000500  max_mem: 38
eta: 0:00:06  epoch: 0  step: 460  loss_c: 0.0845  loss_f: 0.0845  total_loss: 0.1690  data: 0.0008  batch: 0.1679  lr: 0.000500  max_mem: 38
eta: 0:00:05  epoch: 0  step: 470  loss_c: 0.0810  loss_f: 0.0810  total_loss: 0.1620  data: 0.0007  batch: 0.1685  lr: 0.000500  max_mem: 38
eta: 0:00:03  epoch: 0  step: 480  loss_c: 0.0599  loss_f: 0.0599  total_loss: 0.1197  data: 0.0007  batch: 0.1715  lr: 0.000500  max_mem: 38
eta: 0:00:01  epoch: 0  step: 490  loss_c: 0.0959  loss_f: 0.0959  total_loss: 0.1919  data: 0.0008  batch: 0.1699  lr: 0.000500  max_mem: 38
eta: 0:00:00  epoch: 0  step: 499  loss_c: 0.1065  loss_f: 0.1065  total_loss: 0.2130  data: 0.0007  batch: 0.1733  lr: 0.000500  max_mem: 38
eta: 0:00:00  epoch: 0  step: 500  loss_c: 0.0874  loss_f: 0.0874  total_loss: 0.1749  data: 0.0008  batch: 0.1748  lr: 0.000500  max_mem: 38
eta: 0:01:25  epoch: 1  step: 510  loss_c: 0.1016  loss_f: 0.1016  total_loss: 0.2033  data: 0.0040  batch: 0.1788  lr: 0.000498  max_mem: 38
eta: 0:01:23  epoch: 1  step: 520  loss_c: 0.1064  loss_f: 0.1064  total_loss: 0.2128  data: 0.0040  batch: 0.1700  lr: 0.000498  max_mem: 38
eta: 0:01:21  epoch: 1  step: 530  loss_c: 0.0903  loss_f: 0.0903  total_loss: 0.1807  data: 0.0008  batch: 0.1653  lr: 0.000498  max_mem: 38
